"%1 %2","%1 %2"
"%1 - %2","%1 - %2"
"%1 amount of %2 via Stripe. Transaction ID: %3","%1 amount of %2 via Stripe. Transaction ID: %3"
"%1 could not be captured online because it was already captured via Stripe. Capturing %1 offline instead.","%1 could not be captured online because it was already captured via Stripe. Capturing %1 offline instead."
"%1 could not be captured online because this cart includes subscriptions which are trialing. Capturing %1 offline instead.","%1 could not be captured online because this cart includes subscriptions which are trialing. Capturing %1 offline instead."
"%1 every %2 %3","%1 every %2 %3"
"%1 every %2","%1 every %2"
"%1 out of %2 could not be refunded online. Creating an offline refund instead.","%1 out of %2 could not be refunded online. Creating an offline refund instead."
"%1 payments of %2","%1 payments of %2"
"%1 was already captured via Stripe. The invoice was in Pending status, likely because a webhook could not be delivered to your website. Capturing %1 offline instead.","%1 was already captured via Stripe. The invoice was in Pending status, likely because a webhook could not be delivered to your website. Capturing %1 offline instead."
"%1 •••• %2","%1 •••• %2"
"-- Disabled --","-- Disabled --"
"-- Please select a template --","-- Please select a template --"
"The payment has been rejected by %1 with reason: %2.","The payment has been rejected by %1 with reason: %2."
"The payment method could not be added to the subscription.","The payment method could not be added to the subscription."
"The payment method could not be saved: %1","The payment method could not be saved: %1"
"The payment method could not be set up. Please try again.","The payment method could not be set up. Please try again."
"The payment method does not exist.","The payment method does not exist."
"The payment method has been added to the subscription.","The payment method has been added to the subscription."
"The payment method has been authenticated and saved.","The payment method has been authenticated and saved."
"The payment method has been deleted.","The payment method has been deleted."
"The payment method has been saved.","The payment method has been saved."
"The payment method has been successfully added.","The payment method has been successfully added."
"The payment method has been verified but the subscription is incomplete. Please try again.","The payment method has been verified but the subscription is incomplete. Please try again."
"The payment method has been verified but the subscription is not active. Please try again.","The payment method has been verified but the subscription is not active. Please try again."
"The payment method is pending microdeposits verification by the customer.","The payment method is pending microdeposits verification by the customer."
"The payment methods could not be deleted: %1","The payment methods could not be deleted: %1"
"The payment of %1 was canceled via Stripe.","The payment of %1 was canceled via Stripe."
"The payment session has expired. Please try placing the order again.","The payment session has expired. Please try placing the order again."
"The payment was canceled at the request of the customer.","The payment was canceled at the request of the customer."
"The payment was canceled because it was a duplicate of another payment.","The payment was canceled because it was a duplicate of another payment."
"The payment was canceled.","The payment was canceled."
"The payment was canceled: %1","The payment was canceled: %1"
"The payment was cancelled because it was overdue.","The payment was cancelled because it was overdue."
"The pending refund of %1 has been confirmed by Stripe.","The pending refund of %1 has been confirmed by Stripe."
"The price could not be created in Stripe: %1","The price could not be created in Stripe: %1"
"The price for product ""%1"" could not be created in Stripe: %2","The price for product ""%1"" could not be created in Stripe: %2"
"The product ""%1"" could not be created in Stripe: %2","The product ""%1"" could not be created in Stripe: %2"
"The product could not be created in Stripe: %1","The product could not be created in Stripe: %1"
"The product does not exist.","The product does not exist."
"The product wasn't found. Verify the product and try again.","The product wasn't found. Verify the product and try again."
"The refund is being processed by Stripe and is currently in a pending state. The credit memo will be updated automatically once the refund is confirmed.","The refund is being processed by Stripe and is currently in a pending state. The credit memo will be updated automatically once the refund is confirmed."
"The remaining order amount has been canceled.","The remaining order amount has been canceled."
"The selected payment requires a micro-deposit verification. Please select a different payment method.","The selected payment requires a micro-deposit verification. Please select a different payment method."
"The selected shipping method is not available for this subscription","The selected shipping method is not available for this subscription"
"The subscription ""%1"" could not be found in Stripe: %2","The subscription ""%1"" could not be found in Stripe: %2"
"The subscription could not be loaded.","The subscription could not be loaded."
"The subscription could not be set up. Please contact support.","The subscription could not be set up. Please contact support."
"The subscription has been canceled successfully!","The subscription has been canceled successfully!"
"The subscription has been reactivated.","The subscription has been reactivated."
"The subscription has been updated and we have no order back reference.","The subscription has been updated and we have no order back reference."
"The subscription has been updated successfully.","The subscription has been updated successfully."
"The subscription has been updated.","The subscription has been updated."
"The subscription product you are trying to update is not available.","The subscription product you are trying to update is not available."
"The subscription update (%1) has been canceled.","The subscription update (%1) has been canceled."
"The subscription update has been canceled.","The subscription update has been canceled."
"The tax rate could not be created in Stripe: %1","The tax rate could not be created in Stripe: %1"
"This is a multi-shipping event that has not been implemented; ignoring.","This is a multi-shipping event that has not been implemented; ignoring."
"This option is not a subscription. If you would like to cancel your subscription, you can do so from the customer account section.","This option is not a subscription. If you would like to cancel your subscription, you can do so from the customer account section."
"This option is not available because it will reset the subscription billing date.","This option is not available because it will reset the subscription billing date."
"This order cannot be captured because no transactions have been recorded against it.","This order cannot be captured because no transactions have been recorded against it."
"This order cannot be captured from Magento. The invoice will be automatically updated once the customer has paid through a Stripe hosted invoice page.","This order cannot be captured from Magento. The invoice will be automatically updated once the customer has paid through a Stripe hosted invoice page."
"This order failed to be created when the original payment was collected. It has been automatically re-created via it's charge.succeeded webhook event.","This order failed to be created when the original payment was collected. It has been automatically re-created via it's charge.succeeded webhook event."
"This order has been automatically closed because no payment has been collected for it. It can only be used as a billing details reference for the subscription items in the order. The subscription is still active and a new order will be created when it renews.","This order has been automatically closed because no payment has been collected for it. It can only be used as a billing details reference for the subscription items in the order. The subscription is still active and a new order will be created when it renews."
"This order has been placed with a deprecated payment method.","This order has been placed with a deprecated payment method."
"This order was created as part of a requested subscription change by the customer. No payment has been collected. Original order number #%1","This order was created as part of a requested subscription change by the customer. No payment has been collected. Original order number #%1"
"This order was placed using an external payment method. The payment was processed outside of Stripe, and the order status was updated by the external payment provider.","This order was placed using an external payment method. The payment was processed outside of Stripe, and the order status was updated by the external payment provider."
"This payment method cannot be used because it requires a customer authentication. To avoid authentication in the admin area, please contact Stripe support to request access to the MOTO gate for your Stripe account.","This payment method cannot be used because it requires a customer authentication. To avoid authentication in the admin area, please contact Stripe support to request access to the MOTO gate for your Stripe account."
"This payment method cannot be used.","This payment method cannot be used."
"This subscription cannot be updated because it is not active.","This subscription cannot be updated because it is not active."
"This subscription is not associated with an order.","This subscription is not associated with an order."
"This value is only used if the coupon duration is ""Multiple months"".","This value is only used if the coupon duration is ""Multiple months""."
"Too many orders, please reduce shipping addresses and try again.","Too many orders, please reduce shipping addresses and try again."
"Total: %1","Total: %1"
"Trial Days","Trial Days"
"Trial ends %1","Trial ends %1"
"Trial subscription started.","Trial subscription started."
"Trialing until %1","Trialing until %1"
"Try to re-create the charge using the same card","Try to re-create the charge using the same card"
"Unknown billing reason: %1","Unknown billing reason: %1"
"Unsupported discount action: %1","Unsupported discount action: %1"
"Update Subscription","Update Subscription"
"Use Config Settings","Use Config Settings"
"Use a new card","Use a new card"
"Use config settings","Use config settings"
"Use sort order field","Use sort order field"
"User cannot perform this action.","User cannot perform this action."
"Vertical - Accordion","Vertical - Accordion"
"View in Stripe","View in Stripe"
"View instructions","View instructions"
"View voucher","View voucher"
"Visit hosted verification page","Visit hosted verification page"
"Warn admin and don't capture","Warn admin and don't capture"
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"We can't update the item right now.","We can't update the item right now."
"We do not know how to capture payments with a token of this format.","We do not know how to capture payments with a token of this format."
"We refunded %1 through Stripe.","We refunded %1 through Stripe."
"We refunded offline the expired authorization of %1. Charge ID: %2","We refunded offline the expired authorization of %1. Charge ID: %2"
"We refunded online %1 via Stripe. Charge ID: %2","We refunded online %1 via Stripe. Charge ID: %2"
"We refunded online %1 via Stripe. Charge ID: %2. Invoice ID: %3","We refunded online %1 via Stripe. Charge ID: %2. Invoice ID: %3"
"We refunded online/released the uncaptured amount of %1 via Stripe. Charge ID: %2","We refunded online/released the uncaptured amount of %1 via Stripe. Charge ID: %2"
"When catalog prices do not include tax, discounts must be applied on the tax exclusive price.","When catalog prices do not include tax, discounts must be applied on the tax exclusive price."
"When catalog prices include tax, cross-border trade must be enabled.","When catalog prices include tax, cross-border trade must be enabled."
"When catalog prices include tax, discounts must be applied on the tax inclusive price.","When catalog prices include tax, discounts must be applied on the tax inclusive price."
"When disabled, the subscription will start on the date that the order is placed.","When disabled, the subscription will start on the date that the order is placed."
"White with outline","White with outline"
"You are about to change your subscription.","You are about to change your subscription."
"You can configure custom email templates from %1.","You can configure custom email templates from %1."
"You can only purchase one subscription at a time.","You can only purchase one subscription at a time."
"You can't apply %1 to a subscription with a start date.","You can't apply %1 to a subscription with a start date."
"You can't apply %1 to a trialing subscription.","You can't apply %1 to a trialing subscription."
"You do not have any active subscriptions.","You do not have any active subscriptions."
"You do not have any saved payment methods.","You do not have any saved payment methods."
"You'll be redirected to Stripe to complete your payment using one of the following payment methods:","You'll be redirected to Stripe to complete your payment using one of the following payment methods:"
"You'll be redirected to Stripe to complete your payment.","You'll be redirected to Stripe to complete your payment."
"Your account has a total credit of %1, which will be used to offset future subscription payments.","Your account has a total credit of %1, which will be used to offset future subscription payments."
"Your account's credit of %1 will be used to offset future subscription payments.","Your account's credit of %1 will be used to offset future subscription payments."
"Your order #%1 could not be placed. Please contact us for assistance.","Your order #%1 could not be placed. Please contact us for assistance."
"Your order was placed successfully, but your browser session has expired. Please check your email for an order confirmation.","Your order was placed successfully, but your browser session has expired. Please check your email for an order confirmation."
"Your payment method is pending verification.","Your payment method is pending verification."
"Your trial period for order #%1 has started.","Your trial period for order #%1 has started."
"You cannot add products to the cart while a subscription change is in progress.","You cannot add products to the cart while a subscription change is in progress."
"a Stripe Dashboard admin user","a Stripe Dashboard admin user"
"admin user %1","admin user %1"
"after the invoice has been sent.","after the invoice has been sent."
"every %1 %2","every %1 %2"
"every %1","every %1"
"last billed %1<sup>%2</sup>&nbsp;%3","last billed %1<sup>%2</sup>&nbsp;%3"
"starting on %1<sup>%2</sup>&nbsp;%3","starting on %1<sup>%2</sup>&nbsp;%3"
"trialing until %1<sup>%2</sup> %3","trialing until %1<sup>%2</sup> %3"
"•••• %1","•••• %1"
%1<sup>%2</sup>&nbsp;%3&nbsp;%4,%1<sup>%2</sup>&nbsp;%3&nbsp;%4
Actions,Actions
Amount,Amount
Applies,Applies
Approve,Approve
Authorized,Authorized
Automatic,Automatic
BIC,BIC
Billed,Billed
Black,Black
Blue,Blue
Book,Book
Buy,Buy
Cancel,Cancel
Captured,Captured
Card,Card
Check-out,Check-out
Checkout,Checkout
Close,Close
Collected,Collected
Configure,Configure
Continue,Continue
Contribute,Contribute
Country,Country
Customer,Customer
Dark,Dark
Delete,Delete
Disabled,Disabled
Discover,Discover
Donate,Donate
Enabled,Enabled
Error,Error
Expanded,Expanded
France,France
Frequency,Frequency
Germany,Germany
Gold,Gold
IBAN,IBAN
Installments,Installments
Instructions,Instructions
Invoice,Invoice
Ireland,Ireland
JCB,JCB
Klarna,Klarna
Light,Light
Link,Link
Live,Live
Locations,Locations
MasterCard,MasterCard
Minicart,Minicart
Mode,Mode
Multicapture,Multicapture
Netherlands,Netherlands
Never,Never
Order,Order
Outlined,Outlined
Overcapture,Overcapture
Overflow,Overflow
Pay,Pay
PayPal,PayPal
Payment,Payment
Payments,Payments
Plain,Plain
Price,Price
Reactivate,Reactivate
Reference,Reference
Refund,Refund
Reload,Reload
Rent,Rent
Select,Select
Silver,Silver
Status,Status
Stripe,Stripe
Subscribe,Subscribe
Subscription,Subscription
Subscriptions,Subscriptions
Support,Support
Tax,Tax
Test,Test
Tip,Tip
Title,Title
Top-up,Top-up
Visa,Visa
Voucher,Voucher
White,White
days,days
eDelivery,eDelivery
mm/dd/yyyy,mm/dd/yyyy
months,months
shipping,shipping
weeks,weeks
years,years
